Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cytarabine,1006,huH-1,1298146,LIHC,digestive_system,liver,2.92824747999247,0.946136527014246,2,0.078960897334141,0.602337499768614,GDSC2
Cytarabine,1006,JHH-1,1298151,LIHC,digestive_system,liver,3.5318000850377,0.96964377659547,2,0.0740088659370932,0.867189008986688,GDSC2
Docetaxel,1007,HLE,907057,LIHC,digestive_system,liver,-4.72862724804555,0.843771821561951,0.0125,0.0727354118071488,-0.237171391059608,GDSC2
Docetaxel,1007,HuH-7,907071,LIHC,digestive_system,liver,-2.06512862973311,0.958447982569537,0.0125,0.0374291929102529,1.45998861601918,GDSC2
Docetaxel,1007,SK-HEP-1,909719,LIHC,digestive_system,liver,-4.32014764979462,0.877528786769201,0.0125,0.0953969471316064,0.0231085404157576,GDSC2
Docetaxel,1007,SNU-387,909736,LIHC,digestive_system,liver,-4.7231375484164,0.807271852574486,0.0125,0.0753259705230651,-0.233673398382829,GDSC2
Docetaxel,1007,SNU-423,909737,LIHC,digestive_system,liver,-3.52113568561539,0.898533539101863,0.0125,0.10483967919583,0.53223257053883,GDSC2
Docetaxel,1007,SNU-449,909738,LIHC,digestive_system,liver,0.405076827643748,0.972903384475307,0.0125,0.0642472201426742,3.0339837676232,GDSC2
Docetaxel,1007,C3A,910850,LIHC,digestive_system,liver,-1.98492937790579,0.931650976474245,0.0125,0.0756584847094404,1.51109093755341,GDSC2
Docetaxel,1007,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,-4.12554341428116,0.912971707140953,0.0125,0.0835538666072247,0.147108802120734,GDSC2
Docetaxel,1007,JHH-2,1240157,LIHC,digestive_system,liver,-3.22676709008677,0.916333935581667,0.0125,0.0785869156612072,0.71980188416125,GDSC2
Docetaxel,1007,JHH-4,1240158,LIHC,digestive_system,liver,-3.28813128613597,0.906952719533117,0.0125,0.0659042551251748,0.680701109456424,GDSC2
Docetaxel,1007,JHH-6,1240159,LIHC,digestive_system,liver,-3.45783923677868,0.881436186921225,0.0125,0.0477264425366064,0.572564561258552,GDSC2
Docetaxel,1007,JHH-7,1240160,LIHC,digestive_system,liver,-3.58865005406552,0.886803878746559,0.0125,0.0722146245861493,0.489212955191954,GDSC2
Docetaxel,1007,SNU-398,1240217,LIHC,digestive_system,liver,-5.11716808515177,0.801698935763764,0.0125,0.0875885214222213,-0.484746503477491,GDSC2
Docetaxel,1007,huH-1,1298146,LIHC,digestive_system,liver,-3.22035514733984,0.905844240381515,0.0125,0.0766949885533264,0.723887522773169,GDSC2
Docetaxel,1007,JHH-1,1298151,LIHC,digestive_system,liver,-2.7734582005472,0.936541997342865,0.0125,0.0648791320876227,1.00864668133531,GDSC2
Methotrexate,1008,HLE,907057,LIHC,digestive_system,liver,2.35723541251094,0.971574574885428,1,0.0671198989416398,0.804729296445118,GDSC2
Methotrexate,1008,HuH-7,907071,LIHC,digestive_system,liver,0.84702235066671,0.903461912215382,1,0.11832794653347,0.198597684259925,GDSC2
Methotrexate,1008,SK-HEP-1,909719,LIHC,digestive_system,liver,2.58622847143015,0.977440557688019,1,0.0860551716852594,0.896636812999386,GDSC2
Methotrexate,1008,SNU-387,909736,LIHC,digestive_system,liver,1.37298473755768,0.909835326138795,1,0.190184015106833,0.409695335028276,GDSC2
Methotrexate,1008,SNU-423,909737,LIHC,digestive_system,liver,-1.57745918945242,0.708633698100341,1,0.125769319626321,-0.774480182535289,GDSC2
Methotrexate,1008,C3A,910850,LIHC,digestive_system,liver,1.30752795749984,0.889520353939834,1,0.0877743772865166,0.38342392695526,GDSC2
Methotrexate,1008,Hep3B2-1-7,1240147,LIHC,digestive_system,liver,1.87054242624129,0.976824294265645,1,0.124898360901151,0.609392617230727,GDSC2
Methotrexate,1008,JHH-2,1240157,LIHC,digestive_system,liver,3.21426867753382,0.975026553889824,1,0.0704392824381883,1.14870391019286,GDSC2
