sample,ploidy,cellularity
HRR226721,2,1
HRR226722,4,1
HRR226723,4.08,1
HRR226724,2,1
HRR226725,3.2,1
HRR226726,4.76,1
HRR226727,4.12,1
HRR226728,4.04,1
HRR226729,3,1
HRR226730,3.92,1
HRR226731,2,1
HRR226732,3.84,1
HRR226733,4.76,1
HRR226734,4.16,1
HRR226735,2,1
HRR226736,4.76,1
HRR226737,4.08,1
HRR226738,3.08,1
HRR226739,4,1
HRR226740,4.68,1
HRR226741,4.76,1
HRR226742,3,1
HRR226743,4.64,1
HRR226744,2,1
HRR226745,2.92,1
HRR226746,3.12,1
HRR226747,2.96,1
HRR226748,4.76,1
HRR226749,4.72,1
HRR226750,2,1
HRR226751,4.88,1
HRR226752,3.04,1
HRR226753,4.8,1
HRR226754,4.72,1
HRR226755,2,1
HRR226756,4.68,1
HRR226757,4.24,1
HRR226758,4.72,1
HRR226759,4.2,1
HRR226760,3.08,1
HRR226761,2.72,0.96
HRR226762,3,1
HRR226763,4.04,1
HRR226764,4.28,1
HRR226765,2,1
HRR226766,3.96,1
HRR226767,3.08,1
HRR226768,4.08,1
HRR226769,3.04,1
HRR226770,4.6,1
HRR226771,2,1
HRR226772,2,1
HRR226773,4.08,1
HRR226774,4.72,1
HRR226775,3.76,1
HRR226776,3.12,1
HRR226777,2,1
HRR226778,2,1
HRR226779,2,1
HRR226780,2,1
HRR226781,2,1
HRR226782,2,1
HRR226783,2,1
HRR226784,2,1
HRR226785,2,1
HRR226786,2,1
HRR226787,2,1
HRR226788,2,1
HRR226789,2,1
HRR226790,2,1
HRR226791,2,1
HRR226792,2,1
HRR226793,2,1
HRR226794,2,1
HRR226795,2,1
HRR226796,1.96,1
HRR226797,2,1
HRR226798,2,1
HRR226799,2,1
HRR226800,2,1
HRR226801,2,1
HRR226802,2,1
HRR226803,2,1
HRR226804,4,1
HRR226805,2,1
HRR226806,2,1
HRR226807,2,1
HRR226808,2,1
HRR226809,1.96,1
HRR226810,2,1
HRR226811,2,1
HRR226812,2,1
HRR226813,2,1
HRR226814,2,1
HRR226815,2,1
HRR226816,2,1
HRR226817,2,1
HRR226818,2,1
HRR226819,2,1
HRR226820,2,1
HRR226821,2,1
HRR226822,2,1
HRR226823,2,1
HRR226824,2,1
